Water temperature,Dissolved oxygen,Ammonium,Nitrites,Nitrates,Orthophosphate-phosphorus,Total phosphorus,Sodium,Potassium,Calcium,Magnesium,Chlorides,Sulphates,Iron,Manganese,Zinc,Copper,Chromium,Lead,Cadmium,Mercury,Nickel,Arsenic,Biochemical Oxygen,Chemical Oxygen Demand (Cr),Chemical Oxygen Demand (Mn),AOX,Atrazine,Cesium,Macrozoobenthos,Total coliforms,Fecal coliforms,"p,p-DDT",gamma-Hexachlorocyclohexane,Bicarbonates,Anionic active surfactants,Total extractable matter,Fecal streptococci ,PAHs,Petroleum hydrocarbons,"Benzo(g,h,i)perylene",Fluoranthene,PCB 52,PCB 153,PCB 101,Benzo(b)fluoranthene,"Indeno(1,2,3-c,d)pyrene",PCB 28,Benzo(k)fluoranthene,Benzo(a)pyrene,PCB 180,PCB 138,Silica (SiO2),alpha-Hexachlorocyclohexane,Dieldrin,"p,p-DDE",Heptachlor,Endosulfan (alpha),Endrin,Oxygen saturation,beta-Hexaxchlorocyclohexane,Aldrin,"p,p-DDD",Total hardness,Endosulfan (beta),Heptachloroepoxide,Total dissolved salts,Methoxychlor,Simazine,Alachlor,Metolachlor,Total nitrogen,Carbonates,Tetrachloromethane,Sulfides,Selenium,Barium,Total organic carbon,Cyanides,Acenaphthene,Isodrin,Acenaphthylene,Benzo(a)anthracene,Pyrene,Hexachlorobenzene,"1,2,4-Trichlorobenzene",Pentachlorobenzene,Naphthalene,Phenanthrene,"1,2,3-Trichlorobenzene",Anthracene,Chrysene,Aluminium,Dissolved organic carbon,Dissolved silicates,Organic nitrogen,Fluorene,PCB 118,Trifluralin,Inorganic nitrogen,Boron,Berilium,Chlorodinine,AGOC-3A,Methylosmoline,Total dissolved phosphorus
10.8,10.03,0.2,0.02,1.6,0.08,0.13,16.9,1.8,58.36,19,28.4,57,0,0.05,16,66,30,15,0.37,0,0,0,2.7,18,7.73,0,0,0,1.93,0.0045,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9.1,1.2,0.04,2.4,0.07,0.1,58.4,10.8,73.92,23.6,85.2,125,0,0.32,29,33,7,23,0.24,0,0,0,6.5,62,15.09,0,0,0,0,0.08,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12.08,0.57,0.03,1.4,0.1,0.16,28.6,2.4,77.81,28.21,42.6,120,0,0.15,43,33,5,49,0.32,0,0,0,4.33,23,8.95,0,0,0,1.8,0.54,0.0072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,10.1,0.11,0.01,1.74,0.08,0.1,12.1,2.5,68,4.8,9.2,47.8,0.65,0.006,17,10,6,0,0,0,7,0,1.9,0,3.8,0,0,0,0,0.07,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.5,8.5,0.12,0.03,1.48,0.08,0.1,21.4,2.8,56,18.5,29.42,58.36,0,0.07,33,28,6,8,0.04,0,0,0,1.4,14,5.91,0,0,0,0,0.03,0.0014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8.8,0.34,0.05,2.66,0.15,0.28,44.2,6.4,67,26,74,68,1.07,0.02,16,35,39,40,1.47,0,0,0,4.8,17.6,8,0,0,0,2.8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.6,9.7,0.18,0.03,1.68,0.04,0.09,14.6,2.8,54.5,17.5,27.6,42,0,0.05,19,30,20,30,0.31,0,0,0,2.4,14.8,4.1,0,0,0,0,0.01,0.0006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0.27,0.04,1.59,0.07,0.12,16,4,59,15.6,26.9,33,0,0.08,13.6,38,5,2,1.46,0,0,0,3.1,0,3.1,0,0,0,0,0.0014,0.00061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,1.47,0.03,2.17,0.11,0.15,48,5.8,64,21,55.3,176,0,0.2,64,20,37,1,0.31,0,0,0,6,0,4.8,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0.47,0.04,2.16,0.08,0.1,24,4.7,65,22.2,70.2,69.3,0,0.12,8,21,36,1,0.23,0,0,0,0,0,5.1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10.6,0.38,0.02,0.62,0.09,0.13,14.9,3.1,56,17,15.6,67.5,0.48,0.02,53,23,22,3,4.4,,,,2.5,10.4,5,,,,,,,0.08,0.01,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6.2,0.4,0.04,2.86,0.12,0.18,41.5,7.8,74,19.2,71,75,3.44,0.4,413,55,46,2,6.68,,,,4.6,14.6,7.8,,,,2.8,,,0.11,0.03,225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5,10.4,0.49,0.01,1.35,0.05,0.05,16.9,2.75,60.92,13.62,26.23,78.53,0.79,0.04,13,54,7,19,0.38,,,,1.32,10,7.99,,,,,,,0.03,0.01,201.3,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5,10.4,0.46,0.01,1.42,0.07,0.08,23.68,3.05,62.52,13.62,26.94,55.8,1.2,0.06,10,46,14,43,0.59,,,,1.99,14,9.43,,,,2.27,,,0.03,0.01,213.5,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13.5,2.62,0.03,1.4,0.1,0.15,27,4,66.14,33.07,42.6,65,0.49,0.07,38,19,13,34,1.57,,,,7.62,56,14.85,,,,2.17,0.22,0.006,0.12,0.008,120.82,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11,1.76,0.03,1.4,0.1,0.1,60.6,12.8,70.03,40.12,88.75,125,0.31,0.05,108,23,22,14,2.29,,,,5.1,44,13.75,,,,1.98,0.24,0.09,0.26,0.08,208.01,0,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.3,11,0.56,0.03,1.5,0.11,0.11,19.8,2,66.14,28.21,35.5,60.1,0.34,0.05,27,38,19,38,1.82,,,,3.56,18,6.99,,,,2.06,0.92,0.11,0.04,0.02,192.76,0,5,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.7,11.1,0.48,0.02,2.25,0.06,0.1,12.2,2.4,56.7,22.31,25.91,53.7,0.89,0.07,98,32,14,18,2.62,,,,5.86,15.93,7.41,,,,,0.0045,0.0045,0.03,0.008,225.7,,,0.0036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5.6,1.6,0.06,2.88,0.04,0.06,46,7.8,88,17,78,66,1.37,1.17,124,32,37,18,6.68,,,,5.1,,9.8,,,,2.3,,,0.08,0.02,268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.9,11.7,0.44,0.01,1.5,0.1,0.11,19.8,2.2,70.03,15.07,35.5,38.2,0.49,0.02,28,22,13,12,1,,,,2.89,16,6.15,,,,2,0.04,0.0078,0.06,0.01,192.15,0,10,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13.1,3.4,0.04,1.3,0.16,0.47,32.6,6.8,73.9,30.64,56.8,85.59,2.29,0.21,16,57,18,,1.78,,,,7.07,65,12.6,,,,2.45,0.54,0.13,0.03,0.04,173.24,0.02,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14.4,0.55,0.04,1.8,0.09,0.15,54.4,14.5,66.14,42.31,78.1,104.5,0.72,0.08,29,19,13,,26.5,,,,4.93,31,7.64,,,,2.5,0.33,0.02,0.05,0.03,222.65,0,,0.0045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
