date,location,Water temperature,Dissolved oxygen,Ammonium,Nitrites,Nitrates,Orthophosphate-phosphorus,Total phosphorus,Sodium,Potassium,Calcium,Magnesium,Chlorides,Sulphates,Iron,Manganese,Zinc,Copper,Chromium,Lead,Cadmium,Mercury,Nickel,Arsenic,Biochemical Oxygen,Chemical Oxygen Demand (Cr),Chemical Oxygen Demand (Mn),AOX,Atrazine,Cesium,Macrozoobenthos,Total coliforms,Fecal coliforms,"p,p-DDT",gamma-Hexachlorocyclohexane,Bicarbonates,Anionic active surfactants,Total extractable matter,Fecal streptococci ,PAHs,Petroleum hydrocarbons,"Benzo(g,h,i)perylene",Fluoranthene,PCB 52,PCB 153,PCB 101,Benzo(b)fluoranthene,"Indeno(1,2,3-c,d)pyrene",PCB 28,Benzo(k)fluoranthene,Benzo(a)pyrene,PCB 180,PCB 138,Silica (SiO2),alpha-Hexachlorocyclohexane,Dieldrin,"p,p-DDE",Heptachlor,Endosulfan (alpha),Endrin,Oxygen saturation,beta-Hexaxchlorocyclohexane,Aldrin,"p,p-DDD",Total hardness,Endosulfan (beta),Heptachloroepoxide,Total dissolved salts,Methoxychlor,Simazine,Alachlor,Metolachlor,Total nitrogen,Carbonates,Tetrachloromethane,Sulfides,Selenium,Barium,Total organic carbon,Cyanides,Acenaphthene,Isodrin,Acenaphthylene,Benzo(a)anthracene,Pyrene,Hexachlorobenzene,"1,2,4-Trichlorobenzene",Pentachlorobenzene,Naphthalene,Phenanthrene,"1,2,3-Trichlorobenzene",Anthracene,Chrysene,Aluminium,Dissolved organic carbon,Dissolved silicates,Organic nitrogen,Fluorene,PCB 118,Trifluralin,Inorganic nitrogen,Boron,Berilium,Chlorodinine,AGOC-3A,Methylosmoline,Total dissolved phosphorus
2009-10-11,Achara,17.0,9.2,0.031,0.027,1.695,0.1173,0.16,,,,,,,0.17,0.06,5.0,2.8,0.6,0.5,0.3,,1.2,1.0,1.2,6.0,0.0,,,,,,,,,97.6,0.034,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,184.0,,,,,2.14,,,,,,,,,,,,,,,,,,,,,,,6.98,0.387,,,,,,,,,,
2009-11-19,Achara,8.0,11.5,0.39,0.024,1.779,0.2282,0.28,,,,,,,0.08,0.15,10.0,6.1,3.8,0.5,0.3,,3.5,0.5,2.7,5.0,0.0,,,,,,,,,109.8,0.034,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,218.0,,,,,2.8,,,,,,,0.0025,,,,,,,,,,,,,,,,8.68,0.607,,,,,,,,,,
2009-12-10,Achara,6.0,11.8,0.234,0.012,0.987,0.0684,0.11,,,,,,,,,5.0,,,,,,,,2.7,5.0,4.3,,,,,,,,,122.0,,,,,0.013,,,,,,,,,,,,,,,,,,,,,,,,,,,159.0,,,,,1.26,,,,,,,0.0025,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
2010-01-16,Achara,4.0,12.5,0.451,0.01824,0.98762,0.2,0.24,,,31.5,11.9,8.1,,,,,2.7,0.5,0.6,0.4,1.0,3.1,0.5,2.0,7.0,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.82,,,,,,,,,,,,,,,,,,,,,,,7.464,0.36,,,,1.457,,,,,,
2010-02-11,Achara,,,0.07,0.02736,1.08028,0.15,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.33,,,,,,,,,,,,,,,,,,,,,,,8.327,,,,,1.178,,,,,,
2010-02-20,Achara,5.0,14.3,0.062,0.01216,0.73676,0.1,0.12,,,31.1,5.6,6.0,,,,9.0,2.9,0.3,0.5,0.25,1.0,1.2,0.5,1.0,5.0,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.96,,,,,,,,,,,,,,,,,,,,,,,8.533,0.15,,,,0.811,,,,,,
2010-02-21,Achara,,,0.062,0.01216,0.97406,0.09,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.073,0.15,,,,1.048,,,,,,
2010-03-13,Achara,,,0.528,0.09424,2.05208,0.16,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.76,,,,,,,,,,,,,,,,,,,,,,,16.833,,,,,2.675,,,,,,
2010-03-19,Achara,6.0,12.0,0.023,0.01824,1.09384,0.1,0.12,,,30.9,4.0,6.7,,,,9.0,4.5,0.8,0.7,0.25,1.0,2.6,0.5,2.1,6.0,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.48,,,,,,,,,,,,,,,,,,,,,,,9.2,0.35,,,,1.135,,,,,,
2010-03-31,Achara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.113,,,,,,,,,,,
2010-04-07,Achara,,,0.023,0.01216,1.00118,0.14,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.57,,,,,,,,,,,,,,,,,,,,,,,7.659,0.53,,,,1.037,,,,,,
2010-04-08,Achara,,,0.07,0.01824,1.12548,0.16,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.214,,,,,,
2010-04-10,Achara,,,0.031,0.01824,1.69274,0.25,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.52,,,,,,,,,,,,,,,,,,,,,,,5.574,0.78,,,,1.742,,,,,,
2010-04-16,Achara,11.0,10.2,0.28,0.076,1.65432,0.29,0.29,,,39.2,5.2,10.3,,,,14.0,4.2,0.4,0.5,0.25,1.0,2.4,0.5,1.8,8.0,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.47,,,,,,,,,,,,,,,,,,,,,,,8.111,0.46,,,,2.01,,,,,,
2010-05-15,Achara,,,0.093,0.04864,0.8249,0.09,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.18,,,,,,,,,,,,,,,,,,,,,,,6.084,,,,,0.967,,,,,,
2010-05-20,Achara,20.0,7.5,0.218,0.10336,1.12322,0.15,0.36,,,29.9,4.5,7.8,,,,41.0,56.0,2.3,1.8,0.25,1.0,6.3,1.3,2.4,8.0,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.89,,,,,,,,,,,,,,,,,,,,,,,6.57,0.45,,,,1.444,,,,,,
2010-06-17,Achara,18.0,8.0,0.047,0.03952,1.06672,0.11,0.17,,,27.3,4.8,5.4,,,,25.0,5.4,0.6,1.0,0.25,1.0,1.0,0.8,2.9,9.0,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.54,,,,,,,,,,,,,,,,,,,,,,,11.516,0.39,,,,1.153,,,,,,
2010-06-30,Achara,,,0.006,0.02432,0.85428,0.09,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.885,,,,,,
2010-07-08,Achara,,,0.085,0.0608,0.96954,0.11,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.116,,,,,,
2010-07-16,Achara,22.0,7.5,0.085,0.15808,1.76958,0.22,0.45,,,33.6,4.5,9.5,,,,12.0,3.7,0.3,0.5,0.25,1.0,1.0,1.7,2.0,6.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.71,,,,,,,,,,,,,,,,,,,,,,,9.759,0.7,,,,2.013,,,,,,
2010-08-07,Achara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.9,,,,,,,,,,,
2010-08-08,Achara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.652,,,,,,,,,,,
2010-08-12,Achara,23.0,8.1,0.163,0.0456,1.82608,0.26,0.32,,,40.4,4.6,10.3,,,,12.0,3.5,0.6,1.4,0.25,1.0,1.1,1.8,2.3,7.2,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,,,,,,,,,,,,,,,,,,,,,,,8.006,0.77,,,,2.035,,,,,,
2010-08-18,Achara,,,0.101,0.16112,1.77636,0.45,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.038,,,,,,
2010-09-09,Achara,,,0.039,0.13984,2.147,0.16,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.97,,,,,,,,,,,,,,,,,,,,,,,8.623,,,,,2.326,,,,,,
2010-09-17,Achara,15.0,9.8,0.109,0.04256,2.16508,0.27,0.82,,,37.3,6.0,11.9,,,,24.0,4.1,0.3,0.9,0.25,1.0,1.7,1.0,2.0,5.0,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.62,,,,,,,,,,,,,,,,,,,,,,,7.798,0.3,,,,2.316,,,,,,
2010-10-13,Achara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.271,,,,,,,,,,,
2010-10-14,Achara,,,0.023,0.0152,3.50978,0.45,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.67,,,,,,,,,,,,,,,,,,,,,,,8.806,2.12,,,,3.548,,,,,,
2010-10-15,Achara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.9,,,,,,,,,,,
2010-10-16,Achara,,,0.016,0.01216,3.73126,0.53,0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.79,,,,,,,,,,,,,,,,,,,,,,,8.724,1.03,,,,3.759,,,,,,
2010-10-22,Achara,13.0,10.3,0.148,0.02432,1.4464,0.14,0.17,,,42.7,11.0,15.2,,,,14.0,12.4,0.8,1.3,0.25,1.0,2.3,1.5,2.8,10.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.58,,,,,,,,,,,,,,,,,,,,,,,6.686,1.96,,,,1.618,,,,,,
2010-10-23,Achara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.363,,,,,,,,,,,
2010-10-27,Achara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.114,,,,,,,,,,,
2010-11-13,Achara,,,0.054,0.0304,1.44188,0.28,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.527,,,,,,
2010-11-19,Achara,3.0,11.1,0.109,0.03344,1.80574,0.46,0.57,,,43.2,6.2,12.1,,,,12.0,3.1,,1.0,0.25,,,1.5,1.9,6.0,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.43,,,,,,,,,,,,,,,,,,,,,,,,0.48,,,,1.948,,,,,,
2010-12-10,Achara,,,0.155,0.03952,0.93112,0.21,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.126,,,,,,
2010-12-11,Achara,4.0,11.4,0.155,0.02128,1.01248,0.29,0.31,,,40.1,6.0,9.2,,,,10.0,4.2,,1.3,0.25,1.0,,0.5,2.7,9.0,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.43,,,,,,,,,,,,,,,,,,,,,,,,0.24,,,,1.189,,,,,,
2011-01-21,Achara,3.0,11.7,0.105,0.022,1.11,0.028,0.075,,,34.6,6.1,8.1,,,,6.0,2.6,,1.0,0.5,1.0,,1.0,3.6,10.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.43,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
2011-01-22,Achara,4.0,11.4,0.219,0.017,1.14,0.075,0.12,,,,,,,,,10.0,,,,,,,,2.7,8.0,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.67,,,,,,,,,,,,,,,,,,,,,,,8.38,0.0,,,,,,,,,,
2011-02-11,Achara,5.0,13.0,0.216,0.018,1.14,0.061,0.056,,,,,,,,,4.0,1.2,,1.0,0.5,,,1.0,2.4,8.0,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.45,,,,,,,,,,,,,,,,,,,,,,,7.41,0.0,,,,,,,,,,
2011-02-18,Achara,1.0,14.4,0.139,0.016,1.1,0.063,0.157,,,31.5,8.0,17.0,,,,8.0,1.2,,1.0,0.5,1.0,,1.0,4.9,0.0,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.67,,,,,,,,,,,,,,,,,,,,,,,7.15,0.0,,,,,,,,,,
2011-03-18,Achara,7.0,12.3,0.157,0.034,1.0,0.042,0.102,,,34.6,7.4,8.7,,,,9.0,2.7,0.0,0.6,0.5,1.0,1.2,1.0,3.4,9.0,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.59,,,,,,,,,,,,,,,,,,,,,,,7.92,0.0,,,,,,,,,,
2011-03-31,Achara,9.0,12.58,0.038,0.01,1.06,0.031,0.066,,,,,,,,,5.0,1.2,0.0,1.0,0.5,1.0,1.2,1.0,3.0,0.0,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.29,,,,,,,,,,,,,,,,,,,,,,,9.29,0.0,,,,,,,,,,
2011-04-16,Achara,15.0,9.2,0.0,0.058,1.33,0.174,0.279,,,42.5,9.8,12.5,,,,12.0,7.3,0.0,1.7,0.5,1.0,1.9,1.0,5.8,9.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.69,,,,,,,,,,,,,,,,,,,,,,,6.46,0.0,,,,,,,,,,
2011-04-22,Achara,15.0,9.4,0.028,0.016,2.07,0.064,0.11,,,,,9.3,,,,8.0,,,,,,,,1.9,8.0,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.19,,,,,,,,,,,,,,,,,,,,,,,4.68,0.0,,,,,,,,,,
2011-05-13,Achara,17.0,7.4,0.108,0.025,0.99,0.135,0.276,,,35.1,5.8,,,,,14.0,4.9,0.0,1.1,0.0,0.0,2.5,0.0,4.2,8.0,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.17,,,,,,,,,,,,,,,,,,,,,,,5.92,0.0,,,,,,,,,,
2011-05-27,Achara,22.0,8.6,0.073,0.056,1.37,0.152,0.194,,,,,,,,,3.0,2.8,0.0,0.9,0.0,,0.0,1.3,4.4,0.0,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.72,,,,,,,,,,,,,,,,,,,,,,,8.5,0.0,,,,,,,,,,
2011-06-11,Achara,23.0,7.1,0.076,0.005,1.49,0.089,0.105,,,33.8,8.1,,,,,10.0,1.9,0.0,0.3,0.0,0.0,0.0,1.3,4.3,8.0,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.15,,,,,,,,,,,,,,,,,,,,,,,8.97,0.0,,,,,,,,,,
2011-06-17,Achara,22.0,10.3,0.041,0.065,1.69,0.196,0.256,,,31.3,3.5,14.9,,,,6.0,3.8,0.0,1.0,0.0,0.0,16.9,1.2,5.5,9.0,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.21,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,
2011-07-09,Achara,23.0,7.9,0.028,0.021,0.21,0.13,0.16,,,,,,,,,12.0,,,,,,,,1.6,11.0,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,5.99,0.0,,,,,,,,,,
2011-07-14,Achara,23.0,9.8,0.0,0.01,1.12,0.058,0.11,,,31.3,3.5,7.3,,,,6.0,3.8,0.0,1.0,0.0,0.0,16.9,1.2,4.2,8.0,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,
2011-08-04,Achara,25.0,6.6,0.069,0.036,0.87,0.138,0.285,,,,,,,,,18.0,,,,,,,,4.4,10.0,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.61,,,,,,,,,,,,,,,,,,,,,,,3.82,0.0,,,,,,,,,,
2011-08-11,Achara,25.0,9.4,0.027,0.034,1.28,0.146,0.174,,,37.0,5.6,10.4,,,,5.0,2.0,1.1,1.0,0.0,0.0,1.0,2.4,3.5,0.0,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,,,,,,,,,,,,,,,,,,,,,,,2.24,0.0,,,,,,,,,,
2011-09-14,Achara,22.0,8.5,0.0,0.011,1.03,0.061,0.124,,,32.1,5.2,8.6,,,,14.0,3.9,0.0,0.4,0.0,0.0,1.3,1.2,2.0,0.0,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.25,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
2011-09-28,Achara,23.0,7.6,0.0,0.007,0.91,0.089,0.103,,,,,,,,,10.0,9.2,0.0,0.4,0.0,,0.0,1.7,1.7,0.0,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.28,,,,,,,,,,,,,,,,,,,,,,,6.35,0.0,,,,,,,,,,
2011-10-08,Achara,18.0,8.1,0.078,0.013,0.46,0.027,0.062,,,,,,,,,5.0,4.3,0.0,1.1,0.0,,0.0,2.2,5.9,11.0,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,1.58,0.0,,,,,,,,,,
2011-10-13,Achara,13.0,9.1,0.097,0.014,1.02,0.085,0.148,,,28.4,4.8,8.6,,,,15.0,2.2,0.0,1.6,0.0,0.0,1.3,1.8,1.7,10.0,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.47,,,,,,,,,,,,,,,,,,,,,,,10.2,0.0,,,,,,,,,,
2011-11-11,Achara,12.0,9.8,0.279,0.065,1.13,0.05,0.094,,,41.1,4.4,9.9,,,,3.0,1.7,0.0,0.5,0.0,0.0,0.0,0.0,3.0,0.0,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.72,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
2011-11-26,Achara,11.0,11.5,0.041,0.026,1.45,0.146,0.226,,,,,,,,,10.0,,,,,,,,1.4,13.0,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.75,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
2011-12-10,Achara,1.0,11.7,0.089,0.018,1.93,0.054,0.08,,,44.4,20.4,11.6,,,,7.0,2.4,0.0,2.5,0.0,0.0,0.0,1.4,,0.0,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.45,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
2011-12-15,Achara,8.0,11.8,0.053,0.015,0.69,0.039,0.07,,,,,,,,,5.0,,,,,,,,2.2,0.0,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
2012-01-20,Achara,4.0,11.8,0.146,0.016,1.12,0.059,0.089,,,34.1,4.8,8.5,,,,5.0,5.0,1.5,1.2,0.25,,0.0,0.0,1.6,0.0,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,1.65,,,,,,,,,,,,,,,,,,,,,,,,0.36,,,,,,,,,,
